temp,pres,hum,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,pitch,roll,yaw,datetime


29.0,0,63.8,15.39,-99.84,93.61,-0.24,-0.328,0.917,13.29,341.2,56.45,2022-11-09 19:22:26.540257
29.0,1014.0,54.9,31.41,-294.52,276.65,-0.241,-0.346,0.913,12.33,339.89,56.4,2022-11-09 19:22:27.629396
29.0,1014.0,57.0,20.88,-393.92,370.77,-0.238,-0.322,0.926,12.35,340.7,57.21,2022-11-09 19:22:28.715908
29.0,1014.0,55.2,15.55,-444.82,418.96,-0.241,-0.34,0.916,10.63,340.57,53.47,2022-11-09 19:22:29.800886
29.0,1014.0,55.4,12.93,-470.88,443.63,-0.244,-0.326,0.92,10.78,341.52,54.45,2022-11-09 19:22:30.844679
29.0,1014.0,55.7,11.73,-484.23,456.26,-0.242,-0.325,0.921,10.75,342.36,55.55,2022-11-09 19:22:31.939045
29.0,1014.0,53.8,11.04,-491.06,462.73,-0.243,-0.327,0.92,10.76,342.78,56.32,2022-11-09 19:22:33.023971
29.0,1014.0,55.6,10.77,-494.56,466.04,-0.243,-0.325,0.919,10.75,343.08,56.95,2022-11-09 19:22:34.109315
29.0,1014.0,55.6,10.45,-496.35,467.74,-0.239,-0.324,0.916,10.64,343.27,57.7,2022-11-09 19:22:35.193902
29.0,1014.0,55.5,10.46,-497.27,468.6,-0.271,-0.319,0.904,10.71,342.93,58.87,2022-11-09 19:22:36.283074
29.0,1014.0,55.8,10.62,-497.74,469.04,-0.244,-0.327,0.921,10.69,343.16,59.44,2022-11-09 19:22:37.372400
29.0,1014.0,55.8,10.39,-497.97,469.28,-0.246,-0.321,0.923,11.84,342.95,63.55,2022-11-09 19:22:38.462019
29.0,1014.0,55.5,10.27,-498.1,469.4,-0.208,-0.365,0.938,11.98,343.41,64.2,2022-11-09 19:22:39.551215
29.0,1014.0,55.8,9.96,-498.16,469.46,-0.205,-0.461,0.92,12.14,343.21,64.07,2022-11-09 19:22:40.643663
29.0,1014.0,55.3,1.44,-498.06,469.68,-0.186,-0.26,0.96,11.67,338.89,88.16,2022-11-09 19:22:41.729266
29.0,1014.0,55.6,-15.08,-497.84,470.06,-0.317,-0.282,0.923,17.42,338.72,84.27,2022-11-09 19:22:42.823192
29.0,1014.0,55.5,-26.04,-497.69,470.31,-0.245,-0.309,0.924,16.98,339.16,83.44,2022-11-09 19:22:43.909036
29.0,1014.0,55.7,-35.5,-497.56,470.52,-0.247,-0.308,0.927,16.51,339.38,82.55,2022-11-09 19:22:44.994978
29.0,1014.0,55.4,-34.13,-497.58,470.49,-0.246,-0.309,0.927,16.2,339.72,81.82,2022-11-09 19:22:46.080100
29.0,1014.0,55.3,-33.17,-497.6,470.47,-0.246,-0.37,0.925,15.92,339.71,80.9,2022-11-09 19:22:47.165660
29.0,1014.0,53.9,-32.54,-497.61,470.46,-0.248,-0.309,0.92,15.63,340.08,80.38,2022-11-09 19:22:48.252749
29.0,1014.0,55.1,-32.41,-497.61,470.46,-0.246,-0.308,0.922,15.3,340.36,79.88,2022-11-09 19:22:49.342719
