temp,pres,hum,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,pitch,roll,yaw,datetime

27.0,0,60.5,-55.59,-75.2,95.1,0.457,-0.212,0.887,333.78,347.23,151.95,2022-11-07 20:29:31.697938
27.0,1008.0,59.6,-166.33,-225.13,280.79,0.47,-0.238,0.892,332.42,347.49,147.75,2022-11-07 20:29:32.786815
27.0,1008.0,59.7,-226.77,-305.83,375.96,0.385,-0.235,0.911,332.53,347.71,147.48,2022-11-07 20:29:33.875705
27.0,1008.0,59.5,-258.03,-347.3,424.69,0.469,-0.205,0.888,332.47,347.55,148.01,2022-11-07 20:29:34.965652
27.0,1008.0,59.4,-274.13,-368.85,449.64,0.47,-0.203,0.888,332.49,347.49,148.42,2022-11-07 20:29:36.054401
27.0,1009.0,58.8,-282.43,-379.82,462.42,0.497,-0.199,0.88,332.14,346.83,149.82,2022-11-07 20:29:37.141879
27.0,1009.0,59.5,-286.9,-385.29,468.97,0.409,-0.244,0.931,328.48,347.25,163.11,2022-11-07 20:29:38.226886
27.0,1009.0,59.6,-286.33,-384.56,472.25,0.587,-0.239,0.85,330.45,338.88,230.89,2022-11-07 20:29:39.316305
27.0,1009.0,59.2,-281.69,-379.14,473.81,0.471,-0.203,0.884,331.06,338.94,227.53,2022-11-07 20:29:40.402840
27.0,1009.0,59.8,-278.92,-376.52,474.61,0.481,-0.202,0.877,330.91,339.32,223.34,2022-11-07 20:29:41.487883
27.0,1009.0,59.5,-277.36,-374.77,475.01,0.482,-0.158,0.885,330.68,339.7,219.42,2022-11-07 20:29:42.577218
27.0,1009.0,59.8,-276.13,-373.03,475.2,0.478,-0.203,0.878,330.65,340.04,215.68,2022-11-07 20:29:43.666635
27.0,1009.0,59.0,-275.18,-372.78,475.3,0.482,-0.203,0.877,330.52,340.47,212.25,2022-11-07 20:29:44.756099
27.0,1009.0,59.4,-274.64,-372.47,475.34,0.479,-0.207,0.88,330.54,340.95,208.97,2022-11-07 20:29:45.845415
27.0,1009.0,59.4,-274.29,-372.23,475.36,0.506,-0.155,0.876,331.5,343.42,207.73,2022-11-07 20:29:46.934554
27.0,1009.0,59.3,-274.34,-372.3,475.38,0.518,-0.15,0.969,331.98,337.28,210.31,2022-11-07 20:29:48.019454
27.0,1009.0,58.1,-277.03,-377.11,475.46,0.509,0.264,0.78,323.24,31.14,170.89,2022-11-07 20:29:49.104579
27.0,1009.0,59.4,-282.66,-389.34,475.63,0.418,0.47,0.758,327.56,8.16,209.68,2022-11-07 20:29:50.189708
27.0,1009.0,59.1,-286.19,-396.84,475.73,0.465,0.561,0.754,328.73,3.26,214.5,2022-11-07 20:29:51.274807
27.0,1009.0,59.3,-286.72,-398.91,475.75,0.522,0.737,0.79,321.14,17.07,217.06,2022-11-07 20:29:52.360225
27.0,1009.0,59.1,-286.46,-400.19,475.75,0.456,0.661,0.631,322.74,20.09,196.23,2022-11-07 20:29:53.449471
27.0,1009.0,59.2,-287.59,-400.49,475.78,0.385,0.35,0.964,318.38,347.72,188.99,2022-11-07 20:29:54.538633
